X,Y,Z,ScaledValHard
56.0,91.0,4.0,0.08230452984571457
56.0,96.0,4.0,0.8364883661270142
56.0,101.0,4.0,0.7651577591896057
56.0,106.0,4.0,0.1975308656692505
56.0,111.0,4.0,0.8117969632148743
56.0,116.0,4.0,0.1267489790916443
56.0,121.0,4.0,0.2617284059524536
56.0,126.0,4.0,0.04773662984371185
61.0,1.0,4.0,0.17064471542835236
61.0,6.0,4.0,0.12455419450998306
61.0,11.0,4.0,0.12181070446968079
61.0,16.0,4.0,0.1593964546918869
61.0,21.0,4.0,0.13882030546665192
61.0,26.0,4.0,0.7898491621017456
61.0,31.0,4.0,0.12016461044549942
61.0,36.0,4.0,0.11193416267633438
61.0,41.0,4.0,0.08148148655891418
61.0,46.0,4.0,0.23758573830127716
61.0,51.0,4.0,0.08422497659921646
61.0,56.0,4.0,0.3818930387496948
61.0,61.0,4.0,0.15555556118488312
61.0,66.0,4.0,0.11961591988801956
61.0,71.0,4.0,0.16406036913394928
61.0,76.0,4.0,0.12757202982902527
61.0,81.0,4.0,0.16570644080638885
61.0,86.0,4.0,0.046090539544820786
61.0,91.0,4.0,0.048559676855802536
61.0,96.0,4.0,0.0954732596874237
61.0,101.0,4.0,0.7925925850868225
61.0,106.0,4.0,0.06858711689710617
61.0,111.0,4.0,0.10589849948883057
61.0,116.0,4.0,0.7349794507026672
61.0,121.0,4.0,0.21755829453468323
61.0,126.0,4.0,0.7898491621017456
66.0,1.0,4.0,0.12071330845355988
66.0,6.0,4.0,0.17366255819797516
66.0,11.0,4.0,0.17750343680381775
66.0,16.0,4.0,0.16186559200286865
66.0,21.0,4.0,0.11495199799537659
66.0,26.0,4.0,0.18545953929424286
66.0,31.0,4.0,0.7267490029335022
66.0,36.0,4.0,0.2735253870487213
66.0,41.0,4.0,0.10836763679981232
66.0,46.0,4.0,0.20384088158607483
66.0,51.0,4.0,0.38079559803009033
66.0,56.0,4.0,0.1681755781173706
66.0,61.0,4.0,0.18271604180335999
66.0,66.0,4.0,0.29547324776649475
66.0,71.0,4.0,0.18737995624542236
66.0,76.0,4.0,0.147599458694458
66.0,81.0,4.0,0.0954732596874237
66.0,86.0,4.0,0.06639231741428375
66.0,91.0,4.0,0.31906720995903015
66.0,96.0,4.0,0.2595336139202118
66.0,101.0,4.0,0.8117969632148743
66.0,106.0,4.0,0.43703705072402954
66.0,111.0,4.0,0.11495199799537659
66.0,116.0,4.0,0.09602195024490356
66.0,121.0,4.0,0.7294924259185791
66.0,126.0,4.0,0.7733882069587708
71.0,1.0,4.0,0.41728395223617554
71.0,6.0,4.0,0.3478738069534302
71.0,11.0,4.0,0.09766803681850433
71.0,16.0,4.0,0.12757202982902527
71.0,21.0,4.0,0.09794238954782486
71.0,26.0,4.0,0.18161864578723907
71.0,31.0,4.0,0.636214017868042
71.0,36.0,4.0,0.18957476317882538
71.0,41.0,4.0,0.19286693632602692
71.0,46.0,4.0,0.2694101333618164
71.0,51.0,4.0,0.17969821393489838
